,Condition,Method,replicate,Quartet Type,Branch Type,l-true,l-est,log10(l-true),log10(l-est),|l-true - l-est|,log10(l-est/l-true)
46,no_variation,CASTLES (Taylor 33),010,balanced,terminal,0.10440176,0.12966328613397105,-0.9812921799559275,-0.8871829760096405,0.02526152613397105,0.09410920394628709
47,no_variation,CASTLES (Taylor 33),010,balanced,internal,0.1233003,0.09356357813237058,-0.9090358667279823,-1.0288931779121606,0.02973672186762942,-0.1198573111841782
48,no_variation,CASTLES (Taylor 33),010,balanced,terminal,0.02634407,0.041751830963114064,-1.5793171283114331,-1.379324474438077,0.015407760963114064,0.19999265387335602
49,no_variation,CASTLES (Taylor 33),010,balanced,terminal,0.02582773,0.04092593604386148,-1.5879137623050328,-1.3880013787691683,0.01509820604386148,0.19991238353586446
50,no_variation,CASTLES (Taylor 33),011,unbalanced,terminal,0.27321786,0.29025940712382614,-0.563490914632073,-0.5372136961517867,0.017041547123826162,0.026277218480286284
51,no_variation,CASTLES (Taylor 33),011,unbalanced,terminal,0.02840841,0.039512591316486836,-1.5465530727730188,-1.4032644874649103,0.011104181316486838,0.14328858530810862
52,no_variation,CASTLES (Taylor 33),011,unbalanced,terminal,0.0286712,0.03971074119168941,-1.542554129778594,-1.4010920068556165,0.011039541191689407,0.1414621229229775
53,no_variation,CASTLES (Taylor 33),011,unbalanced,internal,0.09756613,0.07436658730812891,-1.0107009211346538,-1.128622147882621,0.023199542691871092,-0.11792122674796729
54,no_variation,CASTLES (Taylor 33),011,unbalanced,terminal,0.1282402,0.13235744081384782,-0.8919758133392777,-0.87825163869539,0.004117240813847817,0.013724174643887756
55,no_variation,CASTLES (Taylor 33),012,unbalanced,terminal,0.0511552,0.05381881540323301,-1.2911102130462357,-1.269065865648835,0.0026636154032330106,0.0220443473974009
56,no_variation,CASTLES (Taylor 33),012,unbalanced,terminal,0.0228473,0.02591544041375627,-1.6411651156984917,-1.5864414062479941,0.0030681404137562693,0.05472370945049757
57,no_variation,CASTLES (Taylor 33),012,unbalanced,terminal,0.02264669,0.02566284825974713,-1.6449952647232147,-1.5906951439531516,0.003016158259747128,0.05430012077006321
58,no_variation,CASTLES (Taylor 33),012,unbalanced,internal,0.02825226,0.02205094875669808,-1.5489468056756586,-1.656572719985967,0.006201311243301921,-0.10762591431030834
59,no_variation,CASTLES (Taylor 33),012,unbalanced,terminal,0.10351965999999999,0.1061204949729182,-0.9849771630699492,-0.9742007330253121,0.0026008349729182145,0.01077643004463717
60,no_variation,CASTLES (Taylor 33),013,unbalanced,terminal,0.1340951,0.14049960419912041,-0.8725870915133639,-0.8523248992064463,0.00640450419912042,0.02026219230691771
61,no_variation,CASTLES (Taylor 33),013,unbalanced,terminal,0.02602888,0.03496441430982972,-1.5845445188014242,-1.4563737422454055,0.008935534309829716,0.1281707765560187
62,no_variation,CASTLES (Taylor 33),013,unbalanced,terminal,0.02545469,0.03418740660729129,-1.5942321876507715,-1.4661338427208397,0.008732716607291292,0.12809834492993177
63,no_variation,CASTLES (Taylor 33),013,unbalanced,internal,0.06221089,0.04433583226381922,-1.2061335855191846,-1.3532451346292274,0.017875057736180776,-0.14711154911004273
64,no_variation,CASTLES (Taylor 33),013,unbalanced,terminal,0.08978423,0.0979729451390671,-1.046799937557857,-1.0088938365421058,0.00818871513906709,0.0379061010157509
65,no_variation,CASTLES (Taylor 33),014,balanced,terminal,0.02996654,0.038091737727265165,-1.5233633987178232,-1.4191692145759176,0.008125197727265165,0.10419418414190552
66,no_variation,CASTLES (Taylor 33),014,balanced,terminal,0.0299066,0.037986620294735526,-1.5242329579205602,-1.420369344314195,0.008080020294735528,0.1038636136063652
67,no_variation,CASTLES (Taylor 33),014,balanced,internal,0.03521333,0.026868824513856873,-1.453292903295577,-1.5707513331318654,0.008344505486143128,-0.11745842983628826
68,no_variation,CASTLES (Taylor 33),014,balanced,terminal,0.0331072,0.041568134529670495,-1.4800775476070303,-1.3812394650691764,0.008460934529670491,0.09883808253785391
69,no_variation,CASTLES (Taylor 33),014,balanced,terminal,0.03267633,0.04158417450018313,-1.4857667266271204,-1.3810719154039606,0.008907844500183129,0.10469481122315974
70,no_variation,CASTLES (Taylor 33),015,unbalanced,terminal,0.22874194,0.26217886671740853,-0.6406541998853134,-0.5814023181299519,0.03343692671740853,0.059251881755361495
71,no_variation,CASTLES (Taylor 33),015,unbalanced,terminal,0.03476607,0.0434151077019729,-1.4588443997331455,-1.3623591172644853,0.008649037701972895,0.09648528246866028
72,no_variation,CASTLES (Taylor 33),015,unbalanced,terminal,0.03469118,0.04281234427584283,-1.4597809276363805,-1.3684309908485248,0.008121164275842828,0.09134993678785565
73,no_variation,CASTLES (Taylor 33),015,unbalanced,internal,0.05246238,0.036208866559775,-1.2801520111642501,-1.4411850696193198,0.016253513440225,-0.1610330584550697
74,no_variation,CASTLES (Taylor 33),015,unbalanced,terminal,0.08759757,0.09225749110177688,-1.0575079412089587,-1.03499835999731,0.004659921101776876,0.02250958121164876
