,Condition,Method,replicate,RMSE,Log Error,#Negative Branches,RMSE (terminal),Log Error (terminal),#Negative Branches (terminal),RMSE (internal),Log Error (internal),#Negative Branches (internal)
83,no_variation,CASTLES (Integrals),084,0.025012766613639163,0.030805529194650464,0,0.030631919494777886,0.044731484990527856,0,0.0005352542723219951,0.00295361760289568,0
84,no_variation,CASTLES (Integrals),085,0.007656540778177145,0.027624237761471004,0,0.00869939661985978,0.03586714676534546,0,0.004950641066004778,0.011138419753722088,0
85,no_variation,CASTLES (Integrals),086,0.008884840995257623,0.05127649689317618,0,0.010612550715931552,0.05205264469886807,0,0.00340128404232766,0.049724201281792384,0
86,no_variation,CASTLES (Integrals),087,0.0035999255425684766,0.12827910563316736,0,0.003856741594346978,0.19106560709771783,0,0.0030215029844398123,0.002706102704066382,0
87,no_variation,CASTLES (Integrals),088,0.016424331834134918,0.12937502807670118,0,0.019419684566102123,0.14333426576028288,0,0.007418067895316336,0.10145655270953771,0
88,no_variation,CASTLES (Integrals),089,0.0030942734565759,0.03417049523353515,0,0.0027020703351295213,0.02573381065427987,0,0.0037578207088998505,0.0510438643920457,0
89,no_variation,CASTLES (Integrals),090,0.006755569798277977,0.03175686118233701,0,0.008242060761654355,0.04480059363829629,0,0.001024713960386963,0.005669396270418464,0
90,no_variation,CASTLES (Integrals),091,0.023480344109060726,0.0467159744063859,0,0.02791366253975916,0.05727623551758469,0,0.009779292697971596,0.025595452183988315,0
91,no_variation,CASTLES (Integrals),092,0.00653056429716377,0.01674600068124589,0,0.0078011029749768205,0.022339112756459438,0,0.0024960758934347333,0.005559776530818794,0
92,no_variation,CASTLES (Integrals),093,0.009353609394349201,0.029638130269475243,0,0.011061708202935764,0.0386918694473745,0,0.004212748434499766,0.011530651913676738,0
93,no_variation,CASTLES (Integrals),094,0.004523768635151501,0.21243414050285184,0,0.005423409102746932,0.3180096476310038,0,0.0016020971885702987,0.001283126246547928,0
94,no_variation,CASTLES (Integrals),095,0.012918474287451649,0.03513438507186454,0,0.014530349478748778,0.039357913722711094,0,0.008854310916017035,0.026687327770171455,0
95,no_variation,CASTLES (Integrals),096,0.003501719565113625,0.04040098088005157,0,0.003160413481110329,0.025975361397308768,0,0.004099962560186477,0.06925221984553719,0
96,no_variation,CASTLES (Integrals),097,0.011716058291823506,0.19157538038534117,0,0.010866691751429949,0.2795443896119101,0,0.013252474729311039,0.015637361932203345,0
97,no_variation,CASTLES (Integrals),098,0.006879609889357016,0.028575861623879487,0,0.007580746158154643,0.03964133674000141,0,0.005201122192418074,0.006444911391635649,0
98,no_variation,CASTLES (Integrals),099,0.0037516616545171916,0.03204218479378234,0,0.004272972916329546,0.03420997123969161,0,0.002389204977090155,0.027706611901963805,0
99,no_variation,CASTLES (Integrals),100,0.008060398088718094,0.04177618772517521,0,0.009864685261947115,0.0621696625192379,0,0.0005348096963197807,0.0009892381370498122,0
100,no_variation,CASTLES (Integrals),101,0.010657301201381994,0.07052585243766064,0,0.01301090477848597,0.03251873241144725,0,0.0014720463244328103,0.14654009249008743,0
101,no_variation,CASTLES (Integrals),102,0.003724094483863157,0.020945435146558434,0,0.0045389901257103585,0.022473722569422816,0,0.0006338583845211155,0.01788886030082968,0
102,no_variation,CASTLES (Integrals),103,0.024641960670746883,0.044974541481634815,0,0.03006599081355809,0.0383402229468697,0,0.0037082435052177144,0.05824317855116503,0
103,no_variation,CASTLES (Integrals),104,0.008383097750979139,0.022233214137505453,0,0.005317443278990598,0.02448395989714844,0,0.012420892788235873,0.017731722618219484,0
